GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cellphone,market.main,Main,22,0,0,0,6,0,3,0,3,0
cellphone,market.service.impl,MockServiceImpl,0,9,0,0,0,4,0,2,0,2
